split,split_type,holdout,model,calibrated,metric,estimate,ci_low,ci_high,n_bootstrap,valid_bootstraps,confidence
iid,iid,,gc_artifact_logreg,False,auprc,0.6292243680230513,0.5877605202509081,0.6525342692904627,100,100,0.95
iid,iid,,gc_artifact_logreg,False,auroc,0.5688041666666667,0.5375764818058459,0.6018865603571002,100,100,0.95
iid,iid,,gc_artifact_logreg,False,ece,0.07350770664391114,0.05648221685685047,0.09870468754287172,100,100,0.95
iid,iid,,gc_artifact_logreg,False,brier,0.24497278779234505,0.241471888852152,0.24844773908412057,100,100,0.95
iid,iid,,gc_artifact_logreg,True,auprc,0.6292243680230513,0.590852364551362,0.6743993021496543,100,100,0.95
iid,iid,,gc_artifact_logreg,True,auroc,0.5688041666666667,0.5380097055846548,0.6038189926693642,100,100,0.95
iid,iid,,gc_artifact_logreg,True,ece,0.09800720822022184,0.07616954858746836,0.1195110309546644,100,100,0.95
iid,iid,,gc_artifact_logreg,True,brier,0.24550485734150915,0.24020741388048564,0.25069411142260356,100,100,0.95
iid,iid,,kmer_logreg,False,auprc,0.7614032641722405,0.730424395457795,0.7882439484970514,100,100,0.95
iid,iid,,kmer_logreg,False,auroc,0.7488388888888888,0.7211890376395633,0.7665863805502289,100,100,0.95
iid,iid,,kmer_logreg,False,ece,0.17098108047723024,0.15554565526757738,0.20013101479719733,100,100,0.95
iid,iid,,kmer_logreg,False,brier,0.23553693194146988,0.22234050614057324,0.25419368051049585,100,100,0.95
iid,iid,,kmer_logreg,True,auprc,0.7614032641722405,0.7226596491167344,0.7900389396272415,100,100,0.95
iid,iid,,kmer_logreg,True,auroc,0.7488388888888888,0.7206075315982096,0.7757763441780706,100,100,0.95
iid,iid,,kmer_logreg,True,ece,0.06048506381989082,0.05068392204493866,0.09232420767153778,100,100,0.95
iid,iid,,kmer_logreg,True,brier,0.20358887181888108,0.19249022054880008,0.21522610116922042,100,100,0.95
iid,iid,,kmer_metadata_logreg,False,auprc,0.7654048056522349,0.7417166227679486,0.7975543331712639,100,100,0.95
iid,iid,,kmer_metadata_logreg,False,auroc,0.7574444444444445,0.7340057214161765,0.7858724594388747,100,100,0.95
iid,iid,,kmer_metadata_logreg,False,ece,0.1593468215835686,0.14294024212344272,0.1873912258710123,100,100,0.95
